Δt (hr),p̄ws (psia)
1070.0,2605.93
1071.0,2605.93
1072.0,2605.93
1073.0,2605.93
1074.0,2605.93
1075.0,2605.93
1076.0,2605.93
1077.0,2605.93
1078.0,2605.93
1079.0,2605.93
1080.0,2605.93
1081.0,2605.93
1082.0,2605.93
1083.0,2605.93
1084.0,2605.93
1085.0,2605.93
1086.0,2605.93
1087.0,2605.93
1088.0,2605.93
1089.0,2605.93
1090.0,2605.93
1091.0,2605.93
1092.0,2605.93
1093.0,2605.93
1094.0,2605.93
1095.0,2605.93
1096.0,2605.93
1097.0,2605.93
1098.0,2605.93
1099.0,2605.93
1100.0,2605.93
1101.0,2605.93
1102.0,2605.93
1103.0,2605.93
1104.0,2605.93
1105.0,2605.93
1106.0,2605.93
1107.0,2605.93
1108.0,2605.93
1109.0,2605.93
1110.0,2605.93
1111.0,2605.93
1112.0,2605.93
1113.0,2605.93
1114.0,2605.93
1115.0,2605.93
1116.0,2605.93
1117.0,2605.93
1118.0,2605.93
1119.0,2605.93
1120.0,2605.93
1121.0,2605.93
1122.0,2605.93
1123.0,2605.93
1124.0,2605.93
1125.0,2605.93
1126.0,2605.93
1127.0,2605.93
1128.0,2605.93
1129.0,2605.93
1130.0,2605.93
1131.0,2605.93
1132.0,2605.93
1133.0,2605.93
1134.0,2605.93
1135.0,2605.93
1136.0,2605.93
1137.0,2605.93
1138.0,2605.93
1139.0,2605.93
1140.0,2605.93
1141.0,2605.93
1142.0,2605.93
1143.0,2605.93
1144.0,2605.93
1145.0,2605.93
1146.0,2605.93
1147.0,2605.93
1148.0,2605.93
1149.0,2605.93
1150.0,2605.93
1151.0,2605.93
1152.0,2605.93
1153.0,2605.93
1154.0,2605.93
1155.0,2605.93
1156.0,2605.93
1157.0,2605.93
1158.0,2605.93
1159.0,2605.93
1160.0,2605.93
1161.0,2605.93
1162.0,2605.93
1163.0,2605.93
1164.0,2605.93
1165.0,2605.93
1166.0,2605.93
1167.0,2605.93
1168.0,2605.93
1169.0,2605.93
1170.0,2605.93
1171.0,2605.93
1172.0,2605.93
1173.0,2605.93
1174.0,2605.93
1175.0,2605.93
1176.0,2605.93
1177.0,2605.93
1178.0,2605.93
1179.0,2605.93
1180.0,2605.93
1181.0,2605.93
1182.0,2605.93
1183.0,2605.93
1184.0,2605.93
1185.0,2605.93
1186.0,2605.93
1187.0,2605.93
1188.0,2605.93
1189.0,2605.93
1190.0,2605.93
1191.0,2605.93
1192.0,2605.93
1193.0,2605.93
1194.0,2605.93
1195.0,2605.93
1196.0,2605.93
1197.0,2605.93
1198.0,2605.93
1199.0,2605.93
1200.0,2605.93
1201.0,2605.93
1202.0,2605.93
1203.0,2605.93
1204.0,2605.93
1205.0,2605.93
1206.0,2605.93
1207.0,2605.93
1208.0,2605.93
1209.0,2605.93
1210.0,2605.93
1211.0,2605.93
1212.0,2605.93
1213.0,2605.93
1214.0,2605.93
1215.0,2605.93
1216.0,2605.93
1217.0,2605.93
1218.0,2605.93
1219.0,2605.93
1220.0,2605.93
1221.0,2605.93
1222.0,2605.93
1223.0,2605.93
1224.0,2605.93
1225.0,2605.93
1226.0,2605.93
1227.0,2605.93
1228.0,2605.93
1229.0,2605.93
1230.0,2605.93
1231.0,2605.93
1232.0,2605.93
1233.0,2605.93
1234.0,2605.93
1235.0,2605.93
1236.0,2605.93
1237.0,2605.93
1238.0,2605.93
1239.0,2605.93
1240.0,2605.93
1241.0,2605.93
1242.0,2605.93
1243.0,2605.93
1244.0,2605.93
1245.0,2605.93
1246.0,2605.93
1247.0,2605.93
1248.0,2605.93
1249.0,2605.93
1250.0,2605.93
1251.0,2605.93
1252.0,2605.93
1253.0,2605.93
1254.0,2605.93
1255.0,2605.93
1256.0,2605.93
1257.0,2605.93
1258.0,2605.93
1259.0,2605.93
1260.0,2605.93
1261.0,2605.93
1262.0,2605.93
1263.0,2605.93
1264.0,2605.93
1265.0,2605.93
1266.0,2605.93
1267.0,2605.93
1268.0,2605.93
1269.0,2605.93
1270.0,2605.93
1271.0,2605.93
1272.0,2605.93
1273.0,2605.93
1274.0,2605.93
1275.0,2605.93
1276.0,2605.93
1277.0,2605.93
1278.0,2605.93
1279.0,2605.93
1280.0,2605.93
1281.0,2605.93
1282.0,2605.93
1283.0,2605.93
1284.0,2605.93
1285.0,2605.93
1286.0,2605.93
1287.0,2605.93
1288.0,2605.93
1289.0,2605.93
1290.0,2605.93
1291.0,2605.93
1292.0,2605.93
1293.0,2605.93
1294.0,2605.93
1295.0,2605.93
1296.0,2605.93
1297.0,2605.93
1298.0,2605.93
1299.0,2605.93
1300.0,2605.93
1301.0,2605.93
1302.0,2605.93
1303.0,2605.93
1304.0,2605.93
1305.0,2605.93
1306.0,2605.93
1307.0,2605.93
1308.0,2605.93
1309.0,2605.93
1310.0,2605.93
1311.0,2605.93
1312.0,2605.93
1313.0,2605.93
1314.0,2605.93
1315.0,2605.93
1316.0,2605.93
1317.0,2605.93
1318.0,2605.93
1319.0,2605.93
1320.0,2605.93
1321.0,2605.93
1322.0,2605.93
1323.0,2605.93
1324.0,2605.93
1325.0,2605.93
1326.0,2605.93
1327.0,2605.93
1328.0,2605.93
1329.0,2605.93
1330.0,2605.93
1331.0,2605.93
1332.0,2605.93
1333.0,2605.93
1334.0,2605.93
1335.0,2605.93
1336.0,2605.93
1337.0,2605.93
1338.0,2605.93
1339.0,2605.93
1340.0,2605.93
1341.0,2605.93
1342.0,2605.93
1343.0,2605.93
1344.0,2605.93
1345.0,2605.93
1346.0,2605.93
1347.0,2605.93
1348.0,2605.93
1349.0,2605.93
1350.0,2605.93
1351.0,2605.93
1352.0,2605.93
1353.0,2605.93
1354.0,2605.93
1355.0,2605.93
1356.0,2605.93
1357.0,2605.93
1358.0,2605.93
1359.0,2605.93
1360.0,2605.93
1361.0,2605.93
1362.0,2605.93
1363.0,2605.93
1364.0,2605.93
1365.0,2605.93
1366.0,2605.93
1367.0,2605.93
1368.0,2605.93
1369.0,2605.93
1370.0,2605.93
1371.0,2605.93
1372.0,2605.93
1373.0,2605.93
1374.0,2605.93
1375.0,2605.93
1376.0,2605.93
1377.0,2605.93
1378.0,2605.93
1379.0,2605.93
1380.0,2605.93
1381.0,2605.93
1382.0,2605.93
1383.0,2605.93
1384.0,2605.93
1385.0,2605.93
1386.0,2605.93
1387.0,2605.93
1388.0,2605.93
1389.0,2605.93
1390.0,2605.93
1391.0,2605.93
1392.0,2605.93
1393.0,2605.93
1394.0,2605.93
1395.0,2605.93
1396.0,2605.93
1397.0,2605.93
1398.0,2605.93
1399.0,2605.93
1400.0,2605.93
1401.0,2605.93
1402.0,2605.93
1403.0,2605.93
1404.0,2605.93
1405.0,2605.93
1406.0,2605.93
1407.0,2605.93
1408.0,2605.93
1409.0,2605.93
1410.0,2605.93
1411.0,2605.93
1412.0,2605.93
1413.0,2605.93
1414.0,2605.93
1415.0,2605.93
1416.0,2605.93
1417.0,2605.93
1418.0,2605.93
1419.0,2605.93
1420.0,2605.93
1421.0,2605.93
1422.0,2605.93
1423.0,2605.93
1424.0,2605.93
1425.0,2605.93
1426.0,2605.93
1427.0,2605.93
1428.0,2605.93
1429.0,2605.93
1430.0,2605.93
1431.0,2605.93
1432.0,2605.93
1433.0,2605.93
1434.0,2605.93
1435.0,2605.93
1436.0,2605.93
1437.0,2605.93
1438.0,2605.93
1439.0,2605.93
1440.0,2605.93
1441.0,2605.93
1442.0,2605.93
1443.0,2605.93
1444.0,2605.93
1445.0,2605.93
1446.0,2605.93
1447.0,2605.93
1448.0,2605.93
1449.0,2605.93
1450.0,2605.93
1451.0,2605.93
1452.0,2605.93
1453.0,2605.93
1454.0,2605.93
1455.0,2605.93
1456.0,2605.93
1457.0,2605.93
1458.0,2605.93
1459.0,2605.93
1460.0,2605.93
1461.0,2605.93
1462.0,2605.93
1463.0,2605.93
1464.0,2605.93
1465.0,2605.93
1466.0,2605.93
1467.0,2605.93
1468.0,2605.93
1469.0,2605.93
1470.0,2605.93
1471.0,2605.93
1472.0,2605.93
1473.0,2605.93
1474.0,2605.93
1475.0,2605.93
1476.0,2605.93
1477.0,2605.93
1478.0,2605.93
1479.0,2605.93
1480.0,2605.93
1481.0,2605.93
1482.0,2605.93
1483.0,2605.93
1484.0,2605.93
1485.0,2605.93
1486.0,2605.93
1487.0,2605.93
1488.0,2605.93
